"type","group","name","version"
"CONTAINER",,"build/jib-image.tar",
"LIBRARY",,"adduser","3.137ubuntu1"
"LIBRARY",,"apt","2.7.14build2"
"LIBRARY",,"base-files","13ubuntu10.1"
"LIBRARY",,"base-passwd","3.6.3build1"
"LIBRARY",,"bash","5.2.21-2ubuntu4"
"LIBRARY",,"bsdutils","1:2.39.3-9ubuntu6.1"
"LIBRARY",,"ca-certificates","20240203"
"LIBRARY","ch.qos.logback","logback-classic","1.5.12"
"LIBRARY","ch.qos.logback","logback-core","1.5.12"
"LIBRARY","com.fasterxml.jackson.core","jackson-annotations","2.18.2"
"LIBRARY","com.fasterxml.jackson.core","jackson-core","2.18.2"
"LIBRARY","com.fasterxml.jackson.core","jackson-databind","2.18.2"
"LIBRARY","com.fasterxml.jackson.datatype","jackson-datatype-jdk8","2.18.2"
"LIBRARY","com.fasterxml.jackson.datatype","jackson-datatype-jsr310","2.18.2"
"LIBRARY","com.fasterxml.jackson.module","jackson-module-parameter-names","2.18.2"
"LIBRARY",,"coreutils","9.4-3ubuntu6"
"LIBRARY",,"curl","8.5.0-2ubuntu10.6"
"LIBRARY",,"dash","0.5.12-6ubuntu5"
"LIBRARY",,"debconf","1.5.86ubuntu1"
"LIBRARY",,"debianutils","5.17build1"
"LIBRARY",,"diffutils","1:3.10-1build1"
"LIBRARY",,"dirmngr","2.4.4-2ubuntu17"
"LIBRARY",,"dpkg","1.22.6ubuntu6.1"
"LIBRARY",,"e2fsprogs","1.47.0-2.4~exp1ubuntu4.1"
"LIBRARY",,"findutils","4.9.0-5build1"
"LIBRARY",,"fontconfig","2.15.0-1.1ubuntu2"
"LIBRARY",,"fontconfig-config","2.15.0-1.1ubuntu2"
"LIBRARY",,"fonts-dejavu-core","2.37-8"
"LIBRARY",,"fonts-dejavu-mono","2.37-8"
"LIBRARY",,"gcc-14-base","14.2.0-4ubuntu2~24.04"
"LIBRARY",,"gnupg","2.4.4-2ubuntu17"
"LIBRARY",,"gnupg-utils","2.4.4-2ubuntu17"
"LIBRARY",,"gpg","2.4.4-2ubuntu17"
"LIBRARY",,"gpg-agent","2.4.4-2ubuntu17"
"LIBRARY",,"gpgconf","2.4.4-2ubuntu17"
"LIBRARY",,"gpgsm","2.4.4-2ubuntu17"
"LIBRARY",,"gpgv","2.4.4-2ubuntu17"
"LIBRARY",,"grep","3.11-4build1"
"LIBRARY",,"gzip","1.12-1ubuntu3"
"LIBRARY",,"hostname","3.23+nmu2ubuntu2"
"LIBRARY",,"init-system-helpers","1.66ubuntu1"
"LIBRARY","io.micrometer","micrometer-commons","1.14.2"
"LIBRARY","io.micrometer","micrometer-observation","1.14.2"
"LIBRARY","jakarta.annotation","jakarta.annotation-api","2.1.1"
"LIBRARY",,"keyboxd","2.4.4-2ubuntu17"
"LIBRARY",,"libacl1","2.3.2-1build1.1"
"LIBRARY",,"libapt-pkg6.0t64","2.7.14build2"
"LIBRARY",,"libassuan0","2.5.6-1build1"
"LIBRARY",,"libattr1","1:2.5.2-1build1"
"LIBRARY",,"libaudit-common","1:3.1.2-2.1build1.1"
"LIBRARY",,"libaudit1","1:3.1.2-2.1build1.1"
"LIBRARY",,"libblkid1","2.39.3-9ubuntu6.1"
"LIBRARY",,"libbrotli1","1.1.0-2build2"
"LIBRARY",,"libbz2-1.0","1.0.8-5.1build0.1"
"LIBRARY",,"libc-bin","2.39-0ubuntu8.3"
"LIBRARY",,"libc6","2.39-0ubuntu8.3"
"LIBRARY",,"libcap-ng0","0.8.4-2build2"
"LIBRARY",,"libcap2","1:2.66-5ubuntu2"
"LIBRARY",,"libcom-err2","1.47.0-2.4~exp1ubuntu4.1"
"LIBRARY",,"libcrypt1","1:4.4.36-4build1"
"LIBRARY",,"libcurl4t64","8.5.0-2ubuntu10.6"
"LIBRARY",,"libdb5.3t64","5.3.28+dfsg2-7"
"LIBRARY",,"libdebconfclient0","0.271ubuntu3"
"LIBRARY",,"libexpat1","2.6.1-2ubuntu0.2"
"LIBRARY",,"libext2fs2t64","1.47.0-2.4~exp1ubuntu4.1"
"LIBRARY",,"libffi8","3.4.6-1build1"
"LIBRARY",,"libfontconfig1","2.15.0-1.1ubuntu2"
"LIBRARY",,"libfreetype6","2.13.2+dfsg-1build3"
"LIBRARY",,"libgcc-s1","14.2.0-4ubuntu2~24.04"
"LIBRARY",,"libgcrypt20","1.10.3-2build1"
"LIBRARY",,"libgmp10","2:6.3.0+dfsg-2ubuntu6"
"LIBRARY",,"libgnutls30t64","3.8.3-1.1ubuntu3.2"
"LIBRARY",,"libgpg-error0","1.47-3build2"
"LIBRARY",,"libgssapi-krb5-2","1.20.1-6ubuntu2.2"
"LIBRARY",,"libhogweed6t64","3.9.1-2.2build1.1"
"LIBRARY",,"libidn2-0","2.3.7-2build1"
"LIBRARY",,"libk5crypto3","1.20.1-6ubuntu2.2"
"LIBRARY",,"libkeyutils1","1.6.3-3build1"
"LIBRARY",,"libkrb5-3","1.20.1-6ubuntu2.2"
"LIBRARY",,"libkrb5support0","1.20.1-6ubuntu2.2"
"LIBRARY",,"libksba8","1.6.6-1build1"
"LIBRARY",,"libldap2","2.6.7+dfsg-1~exp1ubuntu8.1"
"LIBRARY",,"liblz4-1","1.9.4-1build1.1"
"LIBRARY",,"liblzma5","5.6.1+really5.4.5-1build0.1"
"LIBRARY",,"libmd0","1.1.0-2build1"
"LIBRARY",,"libmount1","2.39.3-9ubuntu6.1"
"LIBRARY",,"libncursesw6","6.4+20240113-1ubuntu2"
"LIBRARY",,"libnettle8t64","3.9.1-2.2build1.1"
"LIBRARY",,"libnghttp2-14","1.59.0-1ubuntu0.1"
"LIBRARY",,"libnpth0t64","1.6-3.1build1"
"LIBRARY",,"libp11-kit0","0.25.3-4ubuntu2.1"
"LIBRARY",,"libpam-modules","1.5.3-5ubuntu5.1"
"LIBRARY",,"libpam-modules-bin","1.5.3-5ubuntu5.1"
"LIBRARY",,"libpam-runtime","1.5.3-5ubuntu5.1"
"LIBRARY",,"libpam0g","1.5.3-5ubuntu5.1"
"LIBRARY",,"libpcre2-8-0","10.42-4ubuntu2"
"LIBRARY",,"libpng16-16t64","1.6.43-5build1"
"LIBRARY",,"libproc2-0","2:4.0.4-4ubuntu3.2"
"LIBRARY",,"libpsl5t64","0.21.2-1.1build1"
"LIBRARY",,"libreadline8t64","8.2-4build1"
"LIBRARY",,"librtmp1","2.4+20151223.gitfa8646d.1-2build7"
"LIBRARY",,"libsasl2-2","2.1.28+dfsg1-5ubuntu3.1"
"LIBRARY",,"libsasl2-modules-db","2.1.28+dfsg1-5ubuntu3.1"
"LIBRARY",,"libseccomp2","2.5.5-1ubuntu3.1"
"LIBRARY",,"libselinux1","3.5-2ubuntu2"
"LIBRARY",,"libsemanage-common","3.5-1build5"
"LIBRARY",,"libsemanage2","3.5-1build5"
"LIBRARY",,"libsepol2","3.5-2build1"
"LIBRARY",,"libsmartcols1","2.39.3-9ubuntu6.1"
"LIBRARY",,"libsqlite3-0","3.45.1-1ubuntu2"
"LIBRARY",,"libss2","1.47.0-2.4~exp1ubuntu4.1"
"LIBRARY",,"libssh-4","0.10.6-2build2"
"LIBRARY",,"libssl3t64","3.0.13-0ubuntu3.4"
"LIBRARY",,"libstdc++6","14.2.0-4ubuntu2~24.04"
"LIBRARY",,"libsystemd0","255.4-1ubuntu8.4"
"LIBRARY",,"libtasn1-6","4.19.0-3build1"
"LIBRARY",,"libtinfo6","6.4+20240113-1ubuntu2"
"LIBRARY",,"libudev1","255.4-1ubuntu8.4"
"LIBRARY",,"libunistring5","1.1-2build1"
"LIBRARY",,"libuuid1","2.39.3-9ubuntu6.1"
"LIBRARY",,"libxxhash0","0.8.2-2build1"
"LIBRARY",,"libzstd1","1.5.5+dfsg2-2build1.1"
"LIBRARY",,"locales","2.39-0ubuntu8.3"
"LIBRARY",,"login","1:4.13+dfsg1-4ubuntu3.2"
"LIBRARY",,"logsave","1.47.0-2.4~exp1ubuntu4.1"
"LIBRARY",,"mawk","1.3.4.20240123-1build1"
"LIBRARY",,"mount","2.39.3-9ubuntu6.1"
"LIBRARY",,"ncurses-base","6.4+20240113-1ubuntu2"
"LIBRARY",,"ncurses-bin","6.4+20240113-1ubuntu2"
"LIBRARY",,"openssl","3.0.13-0ubuntu3.4"
"LIBRARY","org.apache.logging.log4j","log4j-api","2.24.3"
"LIBRARY","org.apache.logging.log4j","log4j-to-slf4j","2.24.3"
"LIBRARY","org.apache.tomcat.embed","tomcat-embed-core","10.1.34"
"LIBRARY","org.apache.tomcat.embed","tomcat-embed-el","10.1.34"
"LIBRARY","org.apache.tomcat.embed","tomcat-embed-websocket","10.1.34"
"LIBRARY","org.slf4j","jul-to-slf4j","2.0.16"
"LIBRARY","org.slf4j","slf4j-api","2.0.16"
"LIBRARY","org.springframework.boot","spring-boot","3.4.1"
"LIBRARY","org.springframework.boot","spring-boot-autoconfigure","3.4.1"
"LIBRARY","org.springframework.boot","spring-boot-starter","3.4.1"
"LIBRARY","org.springframework.boot","spring-boot-starter-json","3.4.1"
"LIBRARY","org.springframework.boot","spring-boot-starter-logging","3.4.1"
"LIBRARY","org.springframework.boot","spring-boot-starter-tomcat","3.4.1"
"LIBRARY","org.springframework.boot","spring-boot-starter-web","3.4.1"
"LIBRARY","org.springframework","spring-aop","6.2.1"
"LIBRARY","org.springframework","spring-beans","6.2.1"
"LIBRARY","org.springframework","spring-context","6.2.1"
"LIBRARY","org.springframework","spring-core","6.2.1"
"LIBRARY","org.springframework","spring-expression","6.2.1"
"LIBRARY","org.springframework","spring-jcl","6.2.1"
"LIBRARY","org.springframework","spring-web","6.2.1"
"LIBRARY","org.springframework","spring-webmvc","6.2.1"
"LIBRARY","org.yaml","snakeyaml","2.3"
"LIBRARY",,"p11-kit","0.25.3-4ubuntu2.1"
"LIBRARY",,"p11-kit-modules","0.25.3-4ubuntu2.1"
"LIBRARY",,"passwd","1:4.13+dfsg1-4ubuntu3.2"
"LIBRARY",,"perl-base","5.38.2-3.2build2"
"LIBRARY",,"pinentry-curses","1.2.1-3ubuntu5"
"LIBRARY",,"procps","2:4.0.4-4ubuntu3.2"
"LIBRARY",,"readline-common","8.2-4build1"
"LIBRARY",,"sed","4.9-2build1"
"LIBRARY",,"sensible-utils","0.0.22"
"LIBRARY",,"sysvinit-utils","3.08-6ubuntu3"
"LIBRARY",,"tar","1.35+dfsg-3build1"
"LIBRARY",,"tzdata","2024a-3ubuntu1.1"
"LIBRARY",,"ubuntu-keyring","2023.11.28.1"
"LIBRARY",,"util-linux","2.39.3-9ubuntu6.1"
"LIBRARY",,"wget","1.21.4-1ubuntu4.1"
"LIBRARY",,"zlib1g","1:1.3.dfsg-3.1ubuntu2.1"
"OPERATING-SYSTEM",,"ubuntu","24.04"
